name	gene_model_type	short_description	Curator_summary	Computational_description
AT3G27990.1	antisense_long_noncoding_rna	other RNA	NULL	None;(source:Araport11)
AT1G69587.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G69588;(source:Araport11)
AT2G31751.1	antisense_long_noncoding_rna	unknown gene	Potential natural antisense gene, locus overlaps with AT2G31750	Natural antisense transcript overlaps with AT2G31750;(source:Araport11)
AT1G01448.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G01450;(source:Araport11)
AT1G01448.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G01450;(source:Araport11)
AT1G01448.3	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G01450;(source:Araport11)
AT1G02952.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G02950;(source:Araport11)
AT1G04295.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G04290;(source:Araport11)
AT1G06265.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G06260;(source:Araport11)
AT1G06265.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G06260;(source:Araport11)
AT1G07728.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G07725;(source:Araport11)
AT1G07728.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G07725;(source:Araport11)
AT1G13448.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G13450;(source:Araport11)
AT1G15175.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G15170;(source:Araport11)
AT1G18415.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G18420;(source:Araport11)
AT1G18735.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G18730;(source:Araport11)
AT1G20515.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G20520;(source:Araport11)
AT1G25098.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G25097;(source:Araport11)
AT1G25098.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G25097;(source:Araport11)
AT1G26208.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G26210;(source:Araport11)
AT1G26208.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G26210;(source:Araport11)
AT1G26218.1	antisense_long_noncoding_rna	other RNA	Natural antisense transcript overlaps with AT1G26220. Has been identified as a translated small open reading frame by ribosome profiling.	Natural antisense transcript overlaps with AT1G26220;(source:Araport11)
AT1G28685.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G28680;(source:Araport11)
AT1G29357.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G29355;(source:Araport11)
AT1G29357.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G29355;(source:Araport11)
AT1G29785.1	antisense_long_noncoding_rna	other RNA	Natural antisense transcript overlaps with AT1G29780. Has been identified as a translated small open reading frame by ribosome profiling.	Natural antisense transcript overlaps with AT1G29780;(source:Araport11)
AT1G29785.2	antisense_long_noncoding_rna	other RNA	Natural antisense transcript overlaps with AT1G29780. Has been identified as a translated small open reading frame by ribosome profiling.	Natural antisense transcript overlaps with AT1G29780;(source:Araport11)
AT1G30282.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G30280;(source:Araport11)
AT1G33415.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G33420 and AT1G33430;(source:Araport11)
AT1G33415.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G33420 and AT1G33430;(source:Araport11)
AT1G34844.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G34842;(source:Araport11)
AT1G48315.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G48320;(source:Araport11)
AT1G51645.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G51640;(source:Araport11)
AT1G53233.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G53230;(source:Araport11)
AT1G54355.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G54350;(source:Araport11)
AT1G56165.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G56160;(source:Araport11)
AT1G56242.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G56240;(source:Araport11)
AT1G56612.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G56610;(source:Araport11)
AT1G56612.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G56610;(source:Araport11)
AT1G56612.3	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G56610;(source:Araport11)
AT1G60505.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G60510;(source:Araport11)
AT1G60505.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G60510;(source:Araport11)
AT1G60525.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G60530;(source:Araport11)
AT1G60525.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G60530;(source:Araport11)
AT1G60545.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G60540;(source:Araport11)
AT1G67365.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G67370;(source:Araport11)
AT1G72855.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G72860;(source:Araport11)
AT1G75295.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G75290 and AT1G75300;(source:Araport11)
AT1G75295.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G75290 and AT1G75300;(source:Araport11)
AT1G75295.3	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G75290 and AT1G75300;(source:Araport11)
AT1G78265.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G78270;(source:Araport11)
AT1G80325.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G80320;(source:Araport11)
AT1G80325.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT1G80320;(source:Araport11)
AT2G09795.1	antisense_long_noncoding_rna	other RNA	Natural antisense transcript overlaps with AT2G09800. Has been identified as a translated small open reading frame by ribosome profiling.	Natural antisense transcript overlaps with AT2G09800;(source:Araport11)
AT2G09795.2	antisense_long_noncoding_rna	other RNA	Natural antisense transcript overlaps with AT2G09800. Has been identified as a translated small open reading frame by ribosome profiling.	Natural antisense transcript overlaps with AT2G09800;(source:Araport11)
AT2G09795.3	antisense_long_noncoding_rna	other RNA	Natural antisense transcript overlaps with AT2G09800. Has been identified as a translated small open reading frame by ribosome profiling.	Natural antisense transcript overlaps with AT2G09800;(source:Araport11)
AT2G13665.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G13660;(source:Araport11)
AT2G13665.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G13660;(source:Araport11)
AT2G16245.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G16250;(source:Araport11)
AT2G19582.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G19580;(source:Araport11)
AT2G21187.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G21185;(source:Araport11)
AT2G21187.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G21185;(source:Araport11)
AT2G22955.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G22960;(source:Araport11)
AT2G24545.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G24540;(source:Araport11)
AT2G24545.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G24540;(source:Araport11)
AT2G24755.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G24750 and AT2G24760;(source:Araport11)
AT2G24755.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G24750 and AT2G24760;(source:Araport11)
AT2G24755.3	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G24750 and AT2G24760;(source:Araport11)
AT2G26692.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G26690;(source:Araport11)
AT2G30362.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G30360;(source:Araport11)
AT2G33815.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G33810;(source:Araport11)
AT2G35637.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G35640;(source:Araport11)
AT2G35738.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G35740;(source:Araport11)
AT2G35738.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G35740;(source:Araport11)
AT2G35738.3	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G35740;(source:Araport11)
AT2G35945.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G35940;(source:Araport11)
AT2G36792.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G36790;(source:Araport11)
AT2G36792.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G36790;(source:Araport11)
AT2G37555.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G37550;(source:Araport11)
AT2G40008.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G40010;(source:Araport11)
AT2G41178.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G41180;(source:Araport11)
AT2G42247.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G42250;(source:Araport11)
AT2G42365.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G42360 and AT2G42370;(source:Araport11)
AT2G42365.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G42360 and AT2G42370;(source:Araport11)
AT2G42835.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G42830;(source:Araport11)
AT2G44255.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G44260;(source:Araport11)
AT2G44798.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G44800;(source:Araport11)
AT2G45315.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G45310;(source:Araport11)
AT2G45315.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G45310;(source:Araport11)
AT2G47895.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT2G47900;(source:Araport11)
AT3G01202.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G01200;(source:Araport11)
AT3G03702.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G03700;(source:Araport11)
AT3G12502.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G12500;(source:Araport11)
AT3G20978.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G20975;(source:Araport11)
AT3G21755.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G21760;(source:Araport11)
AT3G21755.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G21760;(source:Araport11)
AT3G24518.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G24520;(source:Araport11)
AT3G29644.1	antisense_long_noncoding_rna	other RNA	Natural antisense transcript overlaps with AT3G29642. Has been identified as a translated small open reading frame by ribosome profiling.	Natural antisense transcript overlaps with AT3G29642;(source:Araport11)
AT3G29644.2	antisense_long_noncoding_rna	other RNA	Natural antisense transcript overlaps with AT3G29642. Has been identified as a translated small open reading frame by ribosome profiling.	Natural antisense transcript overlaps with AT3G29642;(source:Araport11)
AT3G46658.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G46660;(source:Araport11)
AT3G46668.1	antisense_long_noncoding_rna	other RNA	NULL	None;(source:Araport11)
AT3G51075.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G51070;(source:Araport11)
AT3G52072.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G52070;(source:Araport11)
AT3G52072.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G52070;(source:Araport11)
AT3G52535.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G52540;(source:Araport11)
AT3G52535.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G52540;(source:Araport11)
AT3G52605.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G52610;(source:Araport11)
AT3G52605.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G52610;(source:Araport11)
AT3G54625.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G54630;(source:Araport11)
AT3G58795.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G58790;(source:Araport11)
AT3G59695.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G59690;(source:Araport11)
AT3G63445.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G63440;(source:Araport11)
AT3G63445.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G63440;(source:Araport11)
AT3G63445.3	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT3G63440;(source:Araport11)
AT4G01593.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT4G01595;(source:Araport11)
AT4G01593.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT4G01595;(source:Araport11)
AT4G13505.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT4G13510;(source:Araport11)
AT4G17098.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT4G17100;(source:Araport11)
AT4G20362.1	antisense_long_noncoding_rna	other RNA	Natural antisense transcript overlaps with AT4G20360. Has been identified as a translated small open reading frame by ribosome profiling.	Natural antisense transcript overlaps with AT4G20360;(source:Araport11)
AT4G22233.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT4G22235;(source:Araport11)
AT4G22233.2	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT4G22235;(source:Araport11)
AT4G26095.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT4G26090;(source:Araport11)
AT4G26488.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT4G26490;(source:Araport11)
AT4G26795.1	antisense_long_noncoding_rna	other RNA	NULL	Natural antisense transcript overlaps with AT4G26790;(source:Araport11)
