	APL	CO2	COBL9	COR	E30	GL2	PET111	S17	S18	S32	S4	SCOL	SCR	WER	WOL	WOX5	Elong	Mat	Mer	Wrt	CHX	MOCK
AT1G01010	45.09986667	16.68686667	5.292536667	27.72593333	105.6706667	4.68926	1.3324	49.18146667	11.92617667	11.59941333	2.04019	9.425936667	13.32473	1.505496667	4.09328	2.840293333	11.72324	33.5578	1.878666667	4.986806667	7.318043333	9.664126667
AT1G01020	4.343023333	5.423456667	2.161516667	3.377883333	5.383276667	3.046196667	3.81671	2.927313333	3.953636667	5.197733333	6.435153333	4.887213333	4.279433333	4.155826667	5.80589	7.281916667	4.946766667	4.304693333	10.04112667	5.747773333	4.244443333	4.26865
AT1G01030	0.567666667	2.489173333	0.159468333	2.503046667	5.7315	0.391980333	0.611702667	0.0402795	0.152759333	0.112513667	0.088752767	0.734436333	3.81263	0.395924333	0.415729667	0.661018333	0.0987271	0.093468933	0.332837333	0.678106333	0.622319333	0.372944667
AT1G01040	16.05936667	5.07485	2.79314	4.915413333	15.0366	2.87809	6.061096667	19.66456667	28.872	6.391833333	4.966496667	4.26313	8.662816667	3.692613333	4.91181	6.521296667	5.85031	7.53538	3.60626	11.0548	3.569616667	9.369076667
AT1G01050	51.35706667	52.25713333	48.71633333	47.1056	32.48376667	44.02633333	53.9691	40.1423	102.0521333	38.5986	44.6422	30.70116667	28.0498	43.9807	50.9632	41.4882	77.68413333	42.07433333	87.817	49.7739	6.109663333	30.80673333
AT1G01060	15.44827	31.29646667	2.271400667	25.12899667	46.353	9.338746667	7.842703333	44.56373333	22.13633333	7.06504	14.9115	8.275616667	33.6798	10.65476	11.98516667	53.25446667	5.168253333	7.856256667	3.608266667	23.07846667	1.030447667	0.330758
AT1G01070	3.959993333	0.558309333	0.087972333	0.083595667	1.026072333	0.019872067	0.121439133	43.5189	56.6659	1.554026667	2.505776667	1.47561	0.133632333	0.141254767	0.608436333	0.467582	2.047636667	19.97076667	0.011783567	13.6829	1.128419	13.82183333
AT1G01073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	0.757120667	1.66577	0.521749	0.610382667	0.657905667	0.613797667	3.010243333	4.310346667	1.119066667	1.657937333	2.48069	1.635966667	1.41878	0.969692333	1.60614	5.952626667	2.933903333	4.33583	3.155816667	2.950243333	1.53178	3.053056667
AT1G01090	54.06623333	164.0623333	25.69093333	85.4601	58.8598	101.3131667	56.42883333	49.57066667	64.5613	60.73026667	76.03753333	79.1458	106.4956667	95.1671	77.35016667	94.35096667	152.074	151.7467	227.8223333	157.066	12.39926667	77.90096667
AT1G01100	231.518	833.235	239.8896667	128.4373333	84.6715	603.4996667	467.7656667	130.1265	140.1881	669.439	1044.848333	564.0473333	470.9146667	764.7593333	803.4713333	828.165	669.4946667	130.7593333	1577.724	582.0203333	24.97606667	352.8793333
